pulse_count,tube_rate,wall_time,monotonic
35451,15.792,1782447174.7352004,12808.260781899
35451,15.792,1782447175.7351718,12809.260753202
35451,15.792,1782447176.7351706,12810.260751968
35451,15.792,1782447177.7351992,12811.260780611
35451,15.792,1782447178.7352123,12812.260793523
35452,15.546,1782447179.7352545,12813.260835934
35452,15.546,1782447180.7352133,12814.260794645
35453,15.433,1782447181.7352738,12815.260855155
35454,16.882,1782447182.7352335,12816.260814931
35454,16.882,1782447183.7351966,12817.26077806
35455,17.302,1782447184.7351778,12818.260759192
35455,17.302,1782447185.7351725,12819.260753899
35456,17.087,1782447186.7351835,12820.2607647
35456,17.087,1782447187.735172,12821.260753534
35456,17.087,1782447188.7351968,12822.260778368
35456,17.087,1782447189.7351873,12823.26076848
35456,17.087,1782447190.735174,12824.260755242
35456,17.087,1782447191.7352123,12825.260793662
35456,17.087,1782447192.735177,12826.260758287
35456,17.087,1782447193.7352011,12827.260782915
35456,17.087,1782447194.7352192,12828.260800565
35456,17.087,1782447195.7351782,12829.26078184
35457,17.087,1782447196.7352338,12830.260815216
35457,14.918,1782447197.735216,12831.260797186
35458,15.438,1782447198.7352138,12832.260795061
35458,15.438,1782447199.7352135,12833.260795021
35459,15.699,1782447200.7351692,12834.260750705
35459,15.699,1782447201.735171,12835.26075245
35460,16.994,1782447202.735214,12836.260795463
35461,18.209,1782447203.735206,12837.260787326
35461,18.209,1782447204.7352083,12838.260789488
35461,18.209,1782447205.7351801,12839.260761484
35461,18.209,1782447206.7352107,12840.260792583
35463,17.878,1782447207.7351718,12841.260753271
35463,19.614,1782447208.7351704,12842.260751568
35464,19.649,1782447209.7352018,12843.26078316
35464,19.649,1782447210.7352407,12844.260822781
35464,19.649,1782447211.735213,12845.260794422
35464,19.649,1782447212.7352018,12846.260783019
35464,19.649,1782447213.7352548,12847.260836177
35464,19.649,1782447214.735175,12848.260756336
35464,19.649,1782447215.7351742,12849.260755423
35464,19.649,1782447216.735242,12850.260823444
35465,19.649,1782447217.7352514,12851.260832915
35466,18.916,1782447218.7352521,12852.260833663
35466,18.916,1782447219.7352605,12853.260841729
35467,18.672,1782447220.7351806,12854.260761998
35467,18.672,1782447221.7352057,12855.260787087
35469,18.672,1782447222.7352498,12856.260830858
35469,20.981,1782447223.7352438,12857.260825024
35469,20.981,1782447224.735174,12858.260755272
35469,20.981,1782447225.7351725,12859.260753911
35469,20.981,1782447226.7352107,12860.26079226
35470,21.173,1782447227.7351813,12861.260762608
35470,21.173,1782447228.73521,12862.260791324
35470,21.173,1782447229.7352052,12863.260786336
35470,21.173,1782447230.7351766,12864.260757762
35470,21.173,1782447231.7351804,12865.260761577
35470,21.173,1782447232.7351842,12866.260765607
35470,21.173,1782447233.7352147,12867.260795847
35470,21.173,1782447234.7351897,12868.260771169
35470,21.173,1782447235.7351828,12869.260764413
35470,21.173,1782447236.7352407,12870.260822224
35470,21.173,1782447237.7352314,12871.260812711
35471,21.173,1782447238.7351918,12872.260773504
35471,18.989,1782447239.735209,12873.260790287
35471,18.989,1782447240.7351825,12874.260763954
35473,18.989,1782447241.7352521,12875.260833546
35474,19.638,1782447242.7352479,12876.260829176
35475,19.638,1782447243.7351768,12877.260758226
35476,19.619,1782447244.7352083,12878.260789567
35476,23.393,1782447245.7351758,12879.260757343
35477,23.393,1782447246.735247,12880.26082839
35477,23.102,1782447247.7351727,12881.26075423
35478,23.62,1782447248.7351742,12882.260755628
35478,23.62,1782447249.7351983,12883.26077962
35480,23.62,1782447250.7351978,12884.260778994
35480,23.576,1782447251.7351773,12885.260758627
35480,23.576,1782447252.7351735,12886.260754658
35480,23.576,1782447253.7352123,12887.260793547
35481,24.235,1782447254.7352524,12888.260833853
35482,24.235,1782447255.7352087,12889.260790057
35483,24.039,1782447256.735197,12890.260778614
35484,24.039,1782447257.7351727,12891.260754112
35484,28.026,1782447258.7352164,12892.260797853
35484,28.026,1782447259.7352092,12893.260790662
35485,28.026,1782447260.7352147,12894.260795869
35485,27.475,1782447261.735169,12895.260750406
35486,27.028,1782447262.7352047,12896.260786453
35486,27.028,1782447263.7352686,12897.260849898
35486,27.028,1782447264.735198,12898.260779348
35486,27.028,1782447265.735251,12899.260832274
35486,27.028,1782447266.7352057,12900.260786975
35487,25.442,1782447267.7351766,12901.260757692
35487,25.442,1782447268.7352157,12902.260796835
35488,25.637,1782447269.7352538,12903.260835033
35488,25.637,1782447270.7352052,12904.260786284
35488,25.637,1782447271.7351737,12905.260755018
35488,25.637,1782447272.7351706,12906.260751954
35490,24.693,1782447273.7351742,12907.260755473
35492,32.028,1782447274.7351968,12908.26077904
35492,35.595,1782447275.735229,12909.260810301
35493,35.595,1782447276.7352483,12910.260829766
35493,35.281,1782447277.7352023,12911.260783735
35493,35.281,1782447278.7351775,12912.260758771
35494,32.061,1782447279.7352028,12913.260784204
35494,32.061,1782447280.7351735,12914.260754835
35495,30.955,1782447281.7352126,12915.260794142
35495,30.955,1782447282.7352107,12916.260792063
35495,30.955,1782447283.735257,12917.260838187
35496,30.209,1782447284.7352166,12918.260797986
35496,30.209,1782447285.7352064,12919.260787785
35496,30.209,1782447286.7352026,12920.260783803
35496,30.209,1782447287.7352157,12921.260796787
35497,28.485,1782447288.735204,12922.260785428
35498,28.485,1782447289.7352026,12923.260783754
35499,30.181,1782447290.7351718,12924.260753106
35499,30.181,1782447291.7352028,12925.260783989
35499,30.181,1782447292.7351751,12926.260756775
35499,30.181,1782447293.735172,12927.260753303
35500,30.181,1782447294.7351959,12928.260777619
35500,27.669,1782447295.7352157,12929.260796835
35500,27.669,1782447296.7351725,12930.260753815
35500,27.669,1782447297.735271,12931.260852397
35500,27.669,1782447298.7352335,12932.260814852
35500,27.669,1782447299.7351985,12933.260779766
35501,25.49,1782447300.7351747,12934.260755905
35501,25.49,1782447301.7352362,12935.26081735
35502,25.49,1782447302.735237,12936.260818366
35502,25.145,1782447303.7352521,12937.260833468
35503,25.145,1782447304.735252,12938.260833262
35503,23.842,1782447305.7352138,12939.260795126
35503,23.842,1782447306.7352238,12940.260805023
35503,23.842,1782447307.7352421,12941.260823454
35505,23.929,1782447308.7352345,12942.260815941
35505,24.099,1782447309.735175,12943.260756237
35505,24.099,1782447310.7352107,12944.260792246
35506,25.854,1782447311.735187,12945.260768183
35507,26.235,1782447312.7351959,12946.260777677
35507,26.235,1782447313.735192,12947.260773473
35507,26.235,1782447314.7351935,12948.260775011
35508,27.024,1782447315.7351677,12949.260749032
35508,27.024,1782447316.7351956,12950.260776901
35508,27.024,1782447317.7351913,12951.260772725
35508,27.024,1782447318.735182,12952.260763458
35509,24.976,1782447319.735194,12953.260775188
35510,24.928,1782447320.7351744,12954.260755819
35510,24.928,1782447321.7351766,12955.260757727
35511,24.928,1782447322.7352262,12956.2608075
35511,24.625,1782447323.735216,12957.260797337
35511,24.625,1782447324.7352204,12958.260801866
35512,23.335,1782447325.7352185,12959.260799832
35512,23.335,1782447326.7352102,12960.260791728
35513,23.624,1782447327.7351682,12961.260749498
35514,23.624,1782447328.7352352,12962.260816613
35514,23.72,1782447329.7352118,12963.260793165
35514,23.72,1782447330.7351704,12964.260751679
35514,23.72,1782447331.735172,12965.260753586
35514,23.72,1782447332.7351756,12966.260757032
35514,23.72,1782447333.7351742,12967.26075551
35515,22.675,1782447334.735238,12968.260820279
35516,24.134,1782447335.7351897,12969.260771028
35517,24.328,1782447336.7354727,12970.261053956
35518,25.074,1782447337.7352269,12971.260808193
35518,25.074,1782447338.735363,12972.260944375
35520,25.074,1782447339.7353318,12973.260913188
35521,28.427,1782447340.735226,12974.260807123
35521,29.572,1782447341.7352576,12975.260838994
35522,30.214,1782447342.735182,12976.260763298
35523,30.214,1782447343.735223,12977.260804309
35523,31.434,1782447344.735181,12978.260762353
35523,31.434,1782447345.735222,12979.260803629
35523,31.434,1782447346.7352092,12980.260790588
35523,31.434,1782447347.7351785,12981.260759866
35524,31.434,1782447348.7351782,12982.260759527
35524,28.022,1782447349.7352073,12983.260788669
35524,28.022,1782447350.7352183,12984.260799908
35524,28.022,1782447351.735177,12985.260758376
35525,27.718,1782447352.7353578,12986.260938935
35525,27.718,1782447353.7352202,12987.260801587
35525,27.718,1782447354.7352326,12988.260813707
35525,27.718,1782447355.7352638,12989.26084512
35525,27.718,1782447356.7352078,12990.260789069
35525,27.718,1782447357.7351727,12991.260754063
35525,27.718,1782447358.7351754,12992.260756859
35526,27.718,1782447359.7351947,12993.26077602
35526,23.57,1782447360.7351983,12994.26077955
35527,23.57,1782447361.7351813,12995.260762532
35527,24.158,1782447362.7351835,12996.26076475
35527,24.158,1782447363.7351913,12997.260772585
35527,24.158,1782447364.735186,12998.260767712
35527,24.158,1782447365.7351766,12999.260757766
35528,24.047,1782447366.7351673,13000.260748622
35528,24.047,1782447367.7352026,13001.260784341
35528,24.047,1782447368.735208,13002.260789361
35528,24.047,1782447369.7351959,13003.260777149
35528,24.047,1782447370.7352183,13004.260799871
35530,23.401,1782447371.735462,13005.261043233
35530,23.401,1782447372.735175,13006.260756103
35530,23.401,1782447373.7351751,13007.260756556
35530,23.401,1782447374.7351773,13008.260758436
35531,22.585,1782447375.7351758,13009.260757844
35531,22.585,1782447376.735176,13010.260757611
35531,22.585,1782447377.7352211,13011.260802759
